Column1
";;;;"
"No;Suhu Pemasakan (°C);Waktu Pemasakan (menit);Kadar Air (Liter/100kg);Kadar Nutrisi (mg/100g)"
";;;;"
"1;60;5;80;20"
"2;60;10;75;25"
"3;60;15;70;30"
"4;60;20;65;28"
"5;60;30;60;27"
"6;70;5;80;32"
"7;70;10;75;35"
"8;70;15;70;40"
"9;70;20;65;45"
"10;70;30;60;43"
"11;80;5;80;48"
"12;80;10;75;50"
"13;80;15;70;55"
"14;80;20;65;60"
"15;80;30;60;58"
"16;90;5;80;53"
"17;90;10;75;56"
"18;90;15;70;62"
"19;90;20;65;68"
"20;90;30;60;65"
"21;100;5;80;70"
"22;100;10;75;73"
"23;100;15;70;75"
"24;100;20;65;78"
"25;100;30;60;80"
"26;60;25;68;26"
"27;70;25;72;41"
"28;80;25;66;57"
";;;;"
